;open_time;close_time;interval;open_price;close_price;low_price;high_price;volume;nr_trades
0;1576638000;1576641599;3599;124.8;123.9;123.79;125.3;23918.38546;11782
1;1576641600;1576645199;3599;123.89;123.73;123.21;124.48;23295.60078;9350
2;1576645200;1576648799;3599;123.72;123.23;122.88;123.84;22785.0752;9662
3;1576648800;1576652399;3599;123.23;121.88;121.49;123.74;52287.01062;14138
4;1576652400;1576655999;3599;121.87;121.69;120.67;122.01;55960.82398;16054
5;1576656000;1576659599;3599;121.68;121.66;121.33;122.6;38448.29088;12144
6;1576659600;1576663199;3599;121.71;122.06;121.45;122.6;41355.95292;9798
7;1576663200;1576666799;3599;122.05;123.49;122.01;123.98;65028.25592;14666
8;1576666800;1576670399;3599;123.48;121.67;121.51;123.53;27998.91192;11234
9;1576670400;1576673999;3599;121.68;120.61;119.56;122.11;96603.13204;23528
10;1576674000;1576677599;3599;120.67;122.26;116.26;122.66;267947.18248;70538
11;1576677600;1576681199;3599;122.26;123.34;121.9;125.12;140466.0931;35896
12;1576681200;1576684799;3599;123.36;127.32;123.33;128.69;174463.87966;43006
13;1576684800;1576688399;3599;127.37;128.47;125.67;128.92;98349.22644;28696
14;1576688400;1576691999;3599;128.43;127.17;126.81;129.4;65041.8673;18336
15;1576692000;1576695599;3599;127.16;127.27;126.46;127.71;30054.39634;11480
16;1576695600;1576699199;3599;127.27;128.74;127.11;129.2;54205.66014;17488
17;1576699200;1576702799;3599;128.7;129.65;128.26;132.43;153683.65062;41786
18;1576702800;1576706399;3599;129.61;130.34;129.27;133.19;83401.50414;22398
19;1576706400;1576709999;3599;130.33;133.84;130.33;134.87;58540.22016;20420
20;1576710000;1576713599;3599;133.75;132.78;131.5;133.86;66418.6444;20400
21;1576713600;1576717199;3599;132.8;130.62;130.31;134.0;69028.58762;20252
22;1576717200;1576720799;3599;130.65;128.28;126.5;130.88;126083.11228;36642
23;1576720800;1576724399;3599;128.28;128.48;127.71;129.23;29244.2765;10886
24;1576724400;1576727999;3599;128.47;129.02;128.18;129.18;21808.2477;9478
25;1576728000;1576731599;3599;129.02;128.28;127.93;129.03;16485.1127;8134
26;1576731600;1576735199;3599;128.28;128.23;127.46;128.67;26580.008;11472
27;1576735200;1576738799;3599;128.22;127.6;127.47;128.28;24375.78708;9056
28;1576738800;1576742399;3599;127.6;127.45;127.24;128.23;30988.92768;13690
29;1576742400;1576745999;3599;127.46;127.18;127.13;127.66;19599.04878;9740
30;1576746000;1576749599;3599;127.17;126.93;125.69;127.53;67729.74028;19320
31;1576749600;1576753199;3599;126.9;127.7;126.9;128.47;33683.37034;13738
32;1576753200;1576756799;3599;127.7;126.05;126.0;127.91;34758.3121;14178
33;1576756800;1576760399;3599;126.07;126.98;125.86;127.6;34189.03898;13336
34;1576760400;1576763999;3599;127.0;126.28;125.89;127.91;57429.28382;20226
35;1576764000;1576767599;3599;126.25;126.87;126.04;126.96;21523.11848;9830
36;1576767600;1576771199;3599;126.86;127.35;126.59;127.81;26643.2757;11030
37;1576771200;1576774799;3599;127.33;126.9;126.71;128.69;41175.64584;13018
38;1576774800;1576778399;3599;126.9;126.64;126.43;127.3;24972.7599;10448
39;1576778400;1576781999;3599;126.64;127.57;126.5;128.0;18725.01778;8508
40;1576782000;1576785599;3599;127.56;127.5;127.21;128.26;14061.40248;7592
41;1576785600;1576789199;3599;127.52;126.8;126.31;127.56;27926.85958;10570
42;1576789200;1576792799;3599;126.8;126.58;126.01;127.1;20930.16844;7750
43;1576792800;1576796399;3599;126.57;127.34;126.12;127.64;29371.50462;10326
44;1576796400;1576799999;3599;127.37;128.1;127.1;128.39;24037.02772;9224
45;1576800000;1576803599;3599;128.1;127.41;126.25;128.6;38370.14048;13292
46;1576803600;1576807199;3599;127.46;126.92;126.4;127.65;21373.23046;7684
47;1576807200;1576810799;3599;126.93;126.83;126.76;127.29;10398.22956;5784
48;1576810800;1576814399;3599;126.84;126.88;126.69;127.12;8956.51166;5366
49;1576814400;1576817999;3599;126.88;126.69;126.54;127.0;6053.9256;4856
50;1576818000;1576821599;3599;126.68;126.07;125.84;126.93;22112.31754;8436
51;1576821600;1576825199;3599;126.05;126.32;126.03;126.68;13247.85468;6422
52;1576825200;1576828799;3599;126.33;127.18;126.31;127.37;16881.39176;7438
53;1576828800;1576832399;3599;127.18;127.08;126.5;127.35;23532.04474;8788
54;1576832400;1576835999;3599;127.08;126.87;126.82;127.5;16925.48098;7368
55;1576836000;1576839599;3599;126.86;126.96;126.77;127.25;12127.46496;6210
56;1576839600;1576843199;3599;126.96;127.37;126.86;127.45;16636.97654;6798
57;1576843200;1576846799;3599;127.39;128.35;127.27;128.49;27640.38386;11350
58;1576846800;1576850399;3599;128.34;128.09;127.83;128.37;13789.65414;6670
59;1576850400;1576853999;3599;128.04;128.55;127.16;128.76;27335.5458;10560
60;1576854000;1576857599;3599;128.53;127.41;126.72;129.39;51785.80982;17410
61;1576857600;1576861199;3599;127.41;127.72;126.98;128.07;18264.02676;8614
62;1576861200;1576864799;3599;127.72;127.99;127.45;128.28;16267.63478;7166
63;1576864800;1576868399;3599;127.98;128.06;127.67;128.5;19532.9832;6394
64;1576868400;1576871999;3599;128.03;128.03;127.85;128.19;9264.55744;5062
65;1576872000;1576875599;3599;128.03;128.35;127.94;128.6;10127.88156;5402
66;1576875600;1576879199;3599;128.35;128.04;127.95;128.4;10917.43882;4626
67;1576879200;1576882799;3599;128.04;128.05;127.74;128.3;8638.80304;5372
68;1576882800;1576886399;3599;128.11;128.19;127.84;128.33;7614.64642;4776
69;1576886400;1576889999;3599;128.19;127.56;127.3;128.4;22057.24042;7680
70;1576890000;1576893599;3599;127.55;127.2;126.97;127.89;12609.29956;5874
71;1576893600;1576897199;3599;127.2;127.18;127.0;127.46;8567.81818;4760
72;1576897200;1576900799;3599;127.18;127.31;127.09;127.46;9555.97994;5466
