;open_time;close_time;interval;open_price;close_price;low_price;high_price;volume;nr_trades
0;1576713600;1576799999;86399;132.8;128.1;125.69;134.0;841349.6344;308444
1;1576800000;1576886399;86399;128.1;128.19;125.84;129.39;427794.9346;181844
2;1576886400;1576972799;86399;128.19;126.99;126.5;128.4;270392.23282;129694
3;1576972800;1577059199;86399;127.0;132.09;126.82;133.07;506281.44826;182056
4;1577059200;1577145599;86399;132.12;127.8;126.0;135.1;843201.5131;291734
5;1577145600;1577231999;86399;127.8;127.75;126.61;129.69;401274.20196;175314
6;1577232000;1577318399;86399;127.7;125.09;123.07;127.84;450008.9818;186794
7;1577318400;1577404799;86399;125.09;125.58;124.32;132.26;549973.04194;206068
8;1577404800;1577491199;86399;125.58;126.29;121.91;127.1;480024.74902;204284
9;1577491200;1577577599;86399;126.28;128.11;125.84;129.68;393787.04554;164882
10;1577577600;1577663999;86399;128.11;134.36;127.52;138.07;632694.53332;230996
11;1577664000;1577750399;86399;134.36;131.59;130.3;136.24;640694.43912;202586
12;1577750400;1577836799;86399;131.61;129.16;128.17;133.68;529867.96836;190170
13;1577836800;1577923199;86399;129.16;130.77;128.68;133.05;289541.04394;151776
14;1577923200;1578009599;86399;130.72;127.19;126.38;130.78;427514.11612;192386
15;1578009600;1578095999;86399;127.19;134.35;125.88;135.14;826110.3779;324620
16;1578096000;1578182399;86399;134.37;134.2;132.5;135.85;368552.34204;190976
17;1578182400;1578268799;86399;134.2;135.37;134.19;138.19;508240.90686;230212
18;1578268800;1578355199;86399;135.37;144.15;134.86;144.41;816040.5475;319732
19;1578355200;1578441599;86399;144.14;142.8;138.76;145.31;895524.34562;376888
20;1578441600;1578527999;86399;142.8;140.72;137.03;147.77;1140931.15528;459824
21;1578528000;1578614399;86399;140.76;137.74;135.3;141.5;732152.13138;304482
22;1578614400;1578700799;86399;137.73;144.84;135.32;145.17;818807.19014;334626
23;1578700800;1578787199;86399;144.83;142.38;142.09;148.05;736701.15878;312976
24;1578787200;1578873599;86399;142.4;146.54;141.76;146.6;459083.72274;221684
25;1578873600;1578959999;86399;146.56;143.58;142.27;147.0;415993.2373;205088
26;1578960000;1579046399;86399;143.58;165.64;143.51;171.7;2216952.62372;642816
27;1579046400;1579132799;86399;165.6;166.4;159.2;171.98;1443375.60762;502366
28;1579132800;1579219199;86399;166.4;164.21;157.8;167.4;912341.73438;358216
29;1579219200;1579305599;86399;164.24;169.85;162.14;174.81;1534361.35706;547734
30;1579305600;1579391999;86399;169.92;174.14;164.92;179.5;1377566.35964;481320
31;1579392000;1579478399;86399;174.1;166.79;161.66;178.05;1249362.57208;407906
32;1579478400;1579564799;86399;166.79;166.87;161.24;169.33;716185.7682;261230
33;1579564800;1579651199;86399;166.86;169.49;164.8;170.32;616015.2706;251218
34;1579651200;1579737599;86399;169.48;168.07;166.03;171.47;544481.80572;222034
35;1579737600;1579823999;86399;168.07;162.81;159.21;168.2;746828.6997;301750
36;1579824000;1579910399;86399;162.85;162.54;155.55;164.45;860026.39804;291336
37;1579910400;1579996799;86399;162.51;160.35;157.61;162.79;439843.30394;190896
38;1579996800;1580083199;86399;160.36;167.86;159.41;168.08;503165.11516;233256
39;1580083200;1580169599;86399;167.91;170.08;165.22;172.56;731789.63834;314144
40;1580169600;1580255999;86399;170.04;175.64;170.03;176.2;946867.79218;357980
41;1580256000;1580342399;86399;175.58;173.72;173.33;178.45;634765.80322;290124
42;1580342400;1580428799;86399;173.68;184.69;170.93;187.0;955443.3218;378916
43;1580428800;1580515199;86399;184.71;179.99;175.22;185.82;771193.0673;315194
44;1580515200;1580601599;86399;179.94;183.6;179.23;184.28;518740.25804;248298
45;1580601600;1580687999;86399;183.63;188.44;179.1;193.43;1105242.27238;444850
46;1580688000;1580774399;86399;188.48;189.69;186.62;195.19;834351.91562;363452
47;1580774400;1580860799;86399;189.74;188.91;184.69;191.6;732779.39372;346706
48;1580860800;1580947199;86399;188.91;203.78;188.19;207.61;1101884.22834;482830
49;1580947200;1581033599;86399;203.78;213.19;201.02;216.33;1216480.4466;552392
50;1581033600;1581119999;86399;213.16;223.33;213.14;225.0;1258722.30932;536548
51;1581120000;1581206399;86399;223.36;223.05;213.22;227.75;1097103.7493;514562
52;1581206400;1581292799;86399;223.01;228.49;222.86;230.65;700672.48798;367470
53;1581292800;1581379199;86399;228.53;222.89;216.37;229.4;1020830.99898;465234
54;1581379200;1581465599;86399;222.89;236.69;218.17;239.15;1191153.80552;500482
55;1581465600;1581551999;86399;236.69;265.74;236.69;275.34;2076147.49564;830632
56;1581552000;1581638399;86399;265.74;268.32;256.08;277.69;2179358.3074;844016
57;1581638400;1581724799;86399;268.34;285.15;260.28;287.15;1469888.64532;618044
58;1581724800;1581811199;86399;285.11;264.88;261.86;288.41;1721626.28548;697868
59;1581811200;1581897599;86399;264.91;258.85;237.41;274.0;2220236.9279;832164
60;1581897600;1581983999;86399;258.89;267.85;242.0;268.77;2220742.78188;835058
61;1581984000;1582070399;86399;267.9;282.61;258.0;285.88;2231046.87984;863598
62;1582070400;1582156799;86399;282.64;258.45;251.56;285.0;1411947.45976;596096
63;1582156800;1582243199;86399;258.44;256.96;245.34;264.33;1945939.43382;747102
64;1582243200;1582329599;86399;256.97;265.27;253.61;268.24;1051655.7468;428612
65;1582329600;1582415999;86399;265.32;261.57;256.0;266.81;626125.04266;273620
66;1582416000;1582502399;86399;261.55;274.48;261.02;275.68;889481.65766;356928
67;1582502400;1582588799;86399;274.5;265.52;257.09;277.2;1393183.45966;526322
68;1582588800;1582675199;86399;265.47;246.67;244.44;266.22;1549582.02054;554914
69;1582675200;1582761599;86399;246.67;223.93;215.66;250.32;2791758.83014;908710
70;1582761600;1582847999;86399;223.98;227.79;210.0;238.3;2547586.23316;831938
71;1582848000;1582934399;86399;227.73;226.76;214.01;234.67;2109989.84794;694250
72;1582934400;1583020799;86399;226.76;217.21;217.0;233.0;1093733.3702;423542
73;1583020800;1583107199;86399;217.29;217.81;212.36;227.89;1430032.03882;531154
74;1583107200;1583193599;86399;217.81;231.97;216.07;234.4;1620102.9666;517360
75;1583193600;1583279999;86399;232.1;223.91;219.57;232.46;1482997.0965;506206
76;1583280000;1583366399;86399;223.84;224.26;220.23;228.85;887560.67544;334494
77;1583366400;1583452799;86399;224.26;228.38;224.23;234.09;1202959.75174;454484
78;1583452800;1583539199;86399;228.38;244.88;227.33;245.16;1256294.6514;468182
79;1583539200;1583625599;86399;244.93;237.23;236.0;251.93;1267497.79324;476226
80;1583625600;1583711999;86399;237.23;199.43;195.5;237.23;2557947.07482;825574
81;1583712000;1583798399;86399;199.43;202.81;190.0;208.62;3322663.67106;947008
82;1583798400;1583884799;86399;202.79;200.7;195.54;206.2;2040520.214;664796
83;1583884800;1583971199;86399;200.74;194.61;181.73;203.18;2159649.80334;688312
84;1583971200;1584057599;86399;194.61;107.82;101.2;195.55;7629066.28092;1874568
85;1584057600;1584143999;86399;107.67;134.06;86.0;139.68;9326479.85722;2399846
86;1584144000;1584230399;86399;134.06;122.54;120.0;134.68;2475349.77284;796292
87;1584230400;1584316799;86399;122.54;123.78;120.16;133.5;2625901.80274;693158
88;1584316800;1584403199;86399;123.82;111.02;101.1;124.33;4884128.28896;1326554
89;1584403200;1584489599;86399;111.02;115.67;109.38;120.8;2590216.9696;756516
90;1584489600;1584575999;86399;115.67;118.11;109.86;118.5;2403700.6255;692624
91;1584576000;1584662399;86399;118.11;136.3;115.46;143.13;3602142.37632;978294
92;1584662400;1584748799;86399;136.3;133.48;116.74;152.55;5008115.27598;1414432
93;1584748800;1584835199;86399;133.49;132.66;125.69;137.49;2463684.22242;802576
94;1584835200;1584921599;86399;132.63;122.32;121.1;137.13;2111399.73064;674546
95;1584921600;1585007999;86399;122.31;135.92;119.5;137.5;2873592.24898;833640
96;1585008000;1585094399;86399;135.89;138.42;132.2;143.36;2488754.32668;763146
97;1585094400;1585180799;86399;138.42;136.1;132.54;142.33;2068497.48738;635160
98;1585180800;1585267199;86399;136.11;138.4;133.26;139.74;1502121.26204;497016
99;1585267200;1585353599;86399;138.4;131.33;129.68;141.27;1413897.09118;449670
100;1585353600;1585439999;86399;131.33;130.98;124.88;132.97;1792064.21188;549536
101;1585440000;1585526399;86399;130.94;124.5;123.81;131.84;1087994.0;365828
102;1585526400;1585612799;86399;124.47;132.06;124.06;135.42;1529663.85494;483152
103;1585612800;1585699199;86399;132.09;132.72;130.38;135.0;1095338.55578;345384
104;1585699200;1585785599;86399;132.72;135.69;128.62;136.99;1361844.49494;399274
105;1585785600;1585871999;86399;135.65;141.28;135.01;149.76;2277955.32228;629038
106;1585872000;1585958399;86399;141.27;141.31;137.26;146.72;1595092.22892;479600
107;1585958400;1586044799;86399;141.3;144.1;138.88;146.28;1147016.28172;357536
108;1586044800;1586131199;86399;144.1;142.68;140.68;145.58;829974.90492;268446
109;1586131200;1586217599;86399;142.69;171.32;142.6;172.0;3272677.4622;865716
110;1586217600;1586303999;86399;171.32;164.63;162.22;176.22;3435925.65076;893114
111;1586304000;1586390399;86399;164.62;173.11;163.59;174.48;2047151.84152;575598
112;1586390400;1586476799;86399;173.15;169.52;165.19;173.38;1439674.48846;425082
113;1586476800;1586563199;86399;169.56;157.81;152.11;170.1;2629682.724;646860
114;1586563200;1586649599;86399;157.81;158.33;153.91;161.37;1243199.22578;336092
115;1586649600;1586735999;86399;158.33;158.59;155.0;164.78;1618200.49188;446858
116;1586736000;1586822399;86399;158.56;156.29;150.0;158.97;2084182.07244;511930
117;1586822400;1586908799;86399;156.28;158.45;155.23;161.85;1396061.30178;356980
118;1586908800;1586995199;86399;158.46;152.73;152.0;161.29;1458239.3301;372452
119;1586995200;1587081599;86399;152.74;172.29;148.33;174.79;3294415.19982;779708
120;1587081600;1587167999;86399;172.31;170.69;168.31;174.96;1447075.51182;382578
121;1587168000;1587254399;86399;170.61;187.4;170.48;189.54;2254592.73958;572344
122;1587254400;1587340799;86399;187.4;180.03;175.75;188.35;1991519.155;541336
123;1587340800;1587427199;86399;180.02;170.2;166.7;186.46;3095643.05474;731178
124;1587427200;1587513599;86399;170.21;170.74;168.0;174.7;1812763.30796;456524
125;1587513600;1587599999;86399;170.73;182.7;169.78;184.0;1977396.78152;493792
126;1587600000;1587686399;86399;182.7;185.51;178.16;193.63;2915734.17426;727544
127;1587686400;1587772799;86399;185.57;187.59;184.72;189.8;1561808.42514;444148
128;1587772800;1587859199;86399;187.6;194.21;185.76;198.36;1732956.09856;489510
129;1587859200;1587945599;86399;194.21;197.38;192.3;200.0;1517051.63066;457652
130;1587945600;1588031999;86399;197.39;196.34;189.29;199.05;1793254.74542;476682
131;1588032000;1588118399;86399;196.33;196.24;192.36;198.5;1273659.78794;367638
132;1588118400;1588204799;86399;196.24;215.36;196.22;218.77;3240845.44862;890294
133;1588204800;1588291199;86399;215.4;206.08;202.0;227.3;3499382.00302;1114536
134;1588291200;1588377599;86399;206.07;212.02;205.91;217.14;1589827.91656;582730
135;1588377600;1588463999;86399;212.01;213.9;210.36;215.37;886989.34496;371604
136;1588464000;1588550399;86399;213.89;209.86;203.92;219.3;1496767.82622;537682
137;1588550400;1588636799;86399;209.86;206.48;194.88;210.65;2228498.65316;699402
138;1588636800;1588723199;86399;206.47;205.29;201.0;211.68;1281289.32536;492248
139;1588723200;1588809599;86399;205.3;198.97;197.71;210.77;1725401.35698;542598
140;1588809600;1588895999;86399;198.92;212.0;196.43;215.1;2611557.47528;760626
141;1588896000;1588982399;86399;212.01;211.31;206.9;216.61;1835816.3888;524244
142;1588982400;1589068799;86399;211.32;210.07;208.4;214.6;1175743.96146;388118
143;1589068800;1589155199;86399;210.09;187.54;179.59;210.18;2946452.1095;852716
144;1589155200;1589241599;86399;187.62;185.73;176.0;193.5;2186599.63854;607338
145;1589241600;1589327999;86399;185.8;189.76;185.48;192.24;1339511.59134;387956
146;1589328000;1589414399;86399;189.77;199.58;188.35;201.0;1612286.01408;425420
147;1589414400;1589500799;86399;199.61;203.29;195.67;206.02;2229400.49874;570490
148;1589500800;1589587199;86399;203.29;194.86;191.66;204.08;1809499.2714;461442
149;1589587200;1589673599;86399;194.87;200.45;193.21;203.5;1339800.07508;348894
150;1589673600;1589759999;86399;200.44;207.0;199.68;209.85;1417423.7863;360176
151;1589760000;1589846399;86399;207.02;214.91;207.0;217.07;2128278.497;499056
152;1589846400;1589932799;86399;214.92;214.58;209.45;215.95;1287405.97698;372054
153;1589932800;1590019199;86399;214.6;209.98;204.27;215.75;1359065.22074;390344
154;1590019200;1590105599;86399;209.99;198.74;191.71;211.64;2007846.8684;516830
155;1590105600;1590191999;86399;198.72;207.36;196.24;209.19;1575344.72162;435318
156;1590192000;1590278399;86399;207.36;206.6;204.55;211.2;957119.84012;301458
157;1590278400;1590364799;86399;206.6;199.9;199.5;210.55;1347070.11568;409068
158;1590364800;1590451199;86399;199.9;204.15;198.01;205.67;939863.24984;343584
159;1590451200;1590537599;86399;204.22;200.89;196.9;205.0;954353.4706;335404
160;1590537600;1590623999;86399;200.92;208.29;200.76;208.44;989633.45454;335238
161;1590624000;1590710399;86399;208.29;220.21;204.67;220.5;1287891.95538;438320
162;1590710400;1590796799;86399;220.24;220.67;217.57;224.79;1206116.1518;435918
163;1590796800;1590883199;86399;220.63;243.66;218.8;247.0;2039101.50292;683724
164;1590883200;1590969599;86399;243.71;231.57;229.58;245.39;1643217.37768;640132
165;1590969600;1591055999;86399;231.56;248.23;230.66;250.68;1647633.39872;636994
166;1591056000;1591142399;86399;248.23;237.71;225.0;253.8;1911041.83726;710834
167;1591142400;1591228799;86399;237.71;244.52;232.71;245.0;1005856.26742;427584
168;1591228800;1591315199;86399;244.54;243.21;236.0;246.6;1338738.6784;506452
169;1591315200;1591401599;86399;243.22;240.03;239.14;247.87;1005094.82206;410674
170;1591401600;1591487999;86399;240.04;241.94;237.83;244.7;778846.15596;323418
171;1591488000;1591574399;86399;241.94;244.56;234.6;245.37;1142205.1103;452956
172;1591574400;1591660799;86399;244.57;246.4;240.59;247.7;766233.09438;319962
173;1591660800;1591747199;86399;246.37;243.8;238.0;249.82;840654.34266;371948
174;1591747200;1591833599;86399;243.79;247.78;242.0;250.28;862571.2343;370660
175;1591833600;1591919999;86399;247.78;230.51;226.2;250.09;1632913.78322;625310
176;1591920000;1592006399;86399;230.46;237.55;228.19;239.38;893030.68248;363954
177;1592006400;1592092799;86399;237.55;238.11;234.66;238.73;507595.5618;269110
178;1592092800;1592179199;86399;238.13;231.77;229.83;238.59;609886.42376;316186
179;1592179200;1592265599;86399;231.74;230.86;218.27;233.55;1750053.84114;616252
180;1592265600;1592351999;86399;230.86;235.3;228.7;236.0;998389.33516;376272
181;1592352000;1592438399;86399;235.31;233.82;227.65;237.3;956374.5834;379306
182;1592438400;1592524799;86399;233.82;231.27;227.93;234.65;668695.59834;291630
183;1592524800;1592611199;86399;231.26;229.0;226.74;231.95;794569.19616;321364
184;1592611200;1592697599;86399;229.0;228.89;225.62;230.85;607409.97652;259556
