;open_time;close_time;interval;open_price;close_price;low_price;high_price;volume;nr_trades
0;1578009600;1578095999;86399;6244.33;6568.73;6244.33;6608.59;7.11796;248
1;1578096000;1578182399;86399;6558.96;6568.18;6520.12;6690.0;3.65929;150
2;1578182400;1578268799;86399;6590.9;6589.0;6568.18;6699.28;6.73069;390
3;1578268800;1578355199;86399;6568.18;6914.15;6500.0;6950.0;20.500366;1158
4;1578355200;1578441599;86399;6942.65;7315.6;6900.0;7352.71;59.034802;1196
5;1578441600;1578527999;86399;7353.14;7239.17;7079.19;7552.26;44.380316;1248
6;1578528000;1578614399;86399;7209.85;7030.39;6983.08;7209.85;43.79388;680
7;1578614400;1578700799;86399;7059.9;7350.0;6924.0;7350.0;7.869904;324
8;1578700800;1578787199;86399;7350.0;7225.27;7168.68;7438.1;11.819684;426
9;1578787200;1578873599;86399;7213.35;7352.97;7171.15;7352.97;10.271146;328
10;1578873600;1578959999;86399;7352.97;7306.14;7247.06;7352.97;6.306506;314
11;1578960000;1579046399;86399;7288.12;7894.24;7288.12;7970.49;65.534346;1336
12;1579046400;1579132799;86399;7895.5;7881.35;7705.73;7989.59;34.707714;684
13;1579132800;1579219199;86399;7906.51;7845.98;7699.0;7917.05;21.88422;604
14;1579219200;1579305599;86399;7816.48;8035.0;7816.48;8075.59;32.86666;958
15;1579305600;1579391999;86399;8025.0;8050.0;7950.0;8077.1;29.285994;550
16;1579392000;1579478399;86399;8067.93;7838.11;7673.53;8271.43;68.538438;1620
17;1579478400;1579564799;86399;7853.71;7778.83;7250.6;7904.29;122.427914;1804
18;1579564800;1579651199;86399;7754.25;7893.54;7550.0;7919.13;114.488484;2608
19;1579651200;1579737599;86399;7880.0;7790.1;7734.63;7920.0;14.468464;596
20;1579737600;1579823999;86399;7771.01;7518.0;7440.98;7794.14;33.944188;1090
21;1579824000;1579910399;86399;7566.48;7599.48;7433.38;7705.73;20.14659;728
22;1579910400;1579996799;86399;7599.48;7573.36;7475.88;7617.25;12.99212;484
23;1579996800;1580083199;86399;7534.04;7793.06;7505.0;7793.06;11.679994;522
24;1580083200;1580169599;86399;7780.67;8055.42;7760.14;8137.95;20.083588;946
25;1580169600;1580255999;86399;8055.42;8498.23;8049.59;8503.0;40.709378;1690
26;1580256000;1580342399;86399;8518.09;8438.07;8373.88;8585.0;36.52805;1244
27;1580342400;1580428799;86399;8424.04;8598.0;8301.13;8669.55;57.854268;1484
28;1580428800;1580515199;86399;8618.47;8411.38;8302.36;8633.26;27.742058;904
29;1580515200;1580601599;86399;8425.26;8466.33;8374.93;8550.0;6.436222;342
30;1580601600;1580687999;86399;8458.46;8429.12;8262.01;8546.5;17.620148;582
31;1580688000;1580774399;86399;8399.73;8407.48;8336.95;8647.0;29.953432;992
32;1580774400;1580860799;86399;8411.62;8304.62;8197.3;8454.31;33.362732;1422
33;1580860800;1580947199;86399;8322.97;8739.96;8271.19;8928.86;56.63481;1834
